date,content,counts
2011-06-14,The euro area as a whole has witnessed an unprecedented degree of pricestability since its inception more than 12 years ago. This has been accompanied byeconomic performance in terms of growth per capita and job creation that comparespositively with other large advanced economies. It is also remarkable that there is convincing evidence that the euro area and the UnitedStates of America have similar features in terms of diversity of the economies that are part ofthese vast continents: member countries on this side of the Atlantic and the States on theother side.,91
2000-10-31,If stable money is regarded as a common good for the benefit of alland if it is seen as a precondition for long-term prosperity and social justice then it makes sense forsociety to create an independent institution that stands above the fray of day-to-day politics and canpursue this objective with minimum distraction. This is the basis for central bank independence.,60
2010-03-02,"I think that forall of us much remains to be done until we will be able to say that we have “understood” thelessons from the financial crisis. The range of topics that have been covered over the past two days is impressive. I will not tryto comment on all the papers. This would be too much for a single speech. In any case, atthe end of an intensive conference this would probably not be in line with your preferences. Instead, I will focus my remarks today on the monetary and fiscal reaction of the euro area tothe financial crisis.",99
2018-10-09,"Luis de Guindos: Building a resilient Economic and Monetary UnionLectio magistralis by Mr Luis de Guindos, Vice-President of the European Central Bank, openingthe XXIX Edition of the Masters Programme in European Union law of the University Carlos III ofMadrid, Madrid, 5 October 2018. * * *The crisis, its aftermath and the road to recoveryThis autumn marks ten years since the start of the global financial crisis. It was a seismic event that laid bare a number of weaknesses in the international financialsystem – and in the oversight of that system.",90
2000-07-11,"I have already referred to the regulardialogue between the European Parliament and the ECB, the transcripts of which are published on thewebsites of our institutions. Moreover, at the press conferences held after the first meeting of theGoverning Council every month I present the ECB’s assessment of the economic environmentunderpinning our monetary policy decisions. You will also be aware of the broad variety of ECBpublications, in particular the Monthly Bulletin, and of the numerous press releases issued andspeeches held by the members of the Executive Board of the ECB.",88
2001-05-30,"Taking into account all these factors, it was clear that the slowdown in M3 over the past few monthswas more pronounced than expected, with estimates of corrected M3 growth at or even below thereference value of 4½% for some months now. Overall, the Governing Council therefore concluded on10 May that current analysis under the first pillar no longer signalled risks to price stability over themedium term. BIS Review 46/20011In the analysis from the second pillar of the monetary policy strategy, several developments pointed tomoderating inflationary pressures in the medium term.",90
2011-05-13,"In addition, in order to mitigate the impact of the sovereign debt crisis on the banking sector’sability to refinance its activities, the ECB temporarily reversed the phasing-out of its nonstandard measures. It also took collateral-related measures to support access to centralbank liquidity by banks located in the countries that were committed to implementingeconomic and financial adjustment programmes negotiated with the European Commission,in liaison with the ECB, and the IMF. There is no denying that the financial crisis has put the euro and the economy of the euroarea to the test.",90
2019-09-24,"The Governing Council’s statement that we want to see inflation rising to a level that issufficiently close to, but below, 2% reasserts what we said after the July monetary policymeeting: that the values of realised and projected inflation seen in recent times are too low andinconsistent with the Governing Council’s medium-term inflation aim. While the new formulationof forward guidance reflects the characteristic forward-looking orientation of the ECB’s monetarypolicy framework, we have added two safeguards to ensure that policy rate normalisation onlybegins once inflation is sustainably on course to reach our medium-term aim.",92
2011-04-19,"This argument was underpinned also by a wide range of empiricalstudies which emphasized the difference between privately and socially optimal levels ofcapital and demonstrated that increased levels of capital are not expected to have a dramaticimpact on lending and on economic growth as argued by some in the industry. Furthermore, I have emphasised the importance of the proper assessment of the enhancedresilience of individual institutions and the financial system as a whole that should, over time,be reflected in lower levels of expected return on equity as well.",87
2021-03-03,"SPEECHThe coronavirus crisis and SMEsSpeech by Christine Lagarde, President of the ECB, at the“Jahresimpuls Mittelstand 2021” of Bundesverband MittelständischeWirtschaftFrankfurt am Main, 1 March 2021It is a great pleasure to have the opportunity to speak to you today. At the ECB we care deeply about connecting with small and medium-sized enterprises (SMEs), since theyare the foundation of the European economy. SMEs make up 99.8% of all non-financial companies in the EU, provide 66.6% of jobs and generate56.4% of added value.[1] It is decisions by companies like yours to invest, hire and innovate that put theEuropean economy on a path to growth.",100
2017-02-06,"Finally, insolvency law reforms tend to take a number of years, including the time needed to buildcapacity, develop practices and test the rules in courts. The long horizon of many measures should not reduce the sense of urgency and necessity. Allof these reforms are essential not only for the resolution of Europe’s NPL burden, and also asprevention of the renewed build-up of NPL in future cyclical downturns. Financial benefits ofspeedy action may surface more quickly too. If these measures become credible, investors willrecognise the shift in policy and should price higher expected future returns into loan valuations. Let me conclude.",100
2005-02-03,"Doesthis bode well for the cancellation of the debts of the poorest African countries, asrecommended by the British government? I was extremely moved by the response, generosity and compassion shown globally in the wake ofthese tragic events. I have myself worked very closely on debt strategy, which has evolvedconsiderably over the past 20 years to offer assistance to developing countries, and especially the2BIS Review 5/2005poorest countries, in return for their efforts towards good governance. Good debt strategy plays acrucial role in global financial stability. There is often controversy when you speak in English.",93
2017-03-27,"Of course, interest rates could be higher for Germany’s economy and in someother countries as well, if they were alone. But they aren’t – we have a single currency. Therefore, the ECB is committed to conducting a monetary policy for the euro area as a whole,and sometimes that requires everyone to be patient. As always, there are some for whommonetary policy is too loose, while others would specifically like to see more support. But let’snot forget the times before monetary union, when we had fluctuating exchange rates, whichbrought a lot of instability.",92
2009-01-22,"The ECB then put its money where its mouth is by2BIS Review 6/2009providing EUR 95 billion on an overnight basis to the euro area banking sector through afine-tuning operation conducted as a fixed rate tender with full allotment. This operation marked the start of a new phase in which the Eurosystem would make someadjustments to its liquidity supply practices in two main directions:1. Under its so-called front-loading policy, it modified the time profile for the provisionof euro liquidity via the weekly refinancing operations within the reservemaintenance period; and2.",88
2007-08-29,"BIS Review 94/2007entrepreneurial-friendly economic environment, measures to support innovation throughhigher investment in research and development (R&D) and policies aimed at improvinghuman capital. In this context, the academic world has an important role to play. To make these measuresmost effective, they need to be accompanied by efforts to improve the labour force’s level ofeducation and expertise. Meeting the challenges of innovation and its diffusion as well asensuring the labour force’s employability and flexibility, requires that human capital iscontinuously adjusted to labour market needs through improved education and training, aswell as lifelong learning.",91
2008-10-17,"Inthis context, let me briefly recall some of the key areas in which the report has identifiedroom for improvement: (i) some aspects of the prudential framework, relating to capital andliquidity risk as well as to banks’ liquidity risk management practices; (ii) transparency,including full disclosure of banks’ exposures on structured products and off-balance sheetvehicles; (iii) valuation standards, especially as regards marking-to-market illiquid assets; (iv)market functioning, including possible conflicts of interest of credit rating agencies and theirBIS Review 125/20089role in rating structured finance instruments; and (v) authorities’ responsiveness to risks andarrangements for crisis management.",92
2017-03-29,"At a time when many people are expressing doubts about publicinstitutions, it is clear that these principles are vital for their legitimacy. 1 And we are convincedthat greater responsibility and integration at euro area level, which are much needed tostrengthen our Economic and Monetary Union, should go hand in hand with greater democraticaccountability.2So Transparency International’s work regarding the EU’s economic governance is certainlyuseful. This is why the ECB has facilitated this project by inviting the researchers to a series ofmeetings with senior staff. We were offered the opportunity to comment on the draft of the report.",96
2008-06-03,"Furthermore, at the instrument level, the informationprovided to the market by institutions involved in the securitisation process has been limited,especially in relation to the quality of underlying asset pools. This lack of transparency bothon exposures to instruments and at the level of the instrument itself contributed to the loss ofmarket confidence and, as I mentioned earlier, led to disruption in various segments of thefinancial markets. The complexity and opacity in instruments supported also to an overreliance on ratings and rating agencies.",81
2013-09-02,"How should central bankers act in such anenvironment? Policy makers have always the option of doing nothing. Within their mandate,they can choose responding actively to the crisis by rethinking and potentially revising theappropriate set of policy instruments, or, alternatively, they can be passive. Being passive is,however, not an innocent policy stance, but a policy choice itself with potentially harmfulimplications for price stability. As John F. Kennedy once observed, “There are risks andcosts to action.",74
2015-02-17,"The financial crisis has changed our understanding of the interactions between the realeconomy and the financial system, and of the risks which these interactions may bring. Infact, the crisis did not only require a major policy response in order to contain the damagedone to our societies. It has also triggered a re-design of our policy framework to safeguardfinancial stability in the future. In my remarks today, I will first explain why macro-prudential policy aimed at addressingsystemic risk is essential for an economy. Even more so if a country is part of a monetaryunion.",93
2003-04-08,"However, M3 growth appears also to have been affectedby the low level of short-term interest rates prevailing in the euro area, as indicated by the stronggrowth in its most liquid components. At the same time, credit growth showed signs of stabilisation inearly 2003, after the moderation observed throughout last year. Turning to the analysis under the second pillar, recent data and surveys continue to confirm that realGDP growth in the euro area remained weak in early 2003.",77
2005-06-07,"And this is why the ECB has considered itnecessary to express its concern about some aspects of the recent reform and to stress the need for arigorous implementation of the new framework. At the same time, the ECB fully respects theprerogatives and responsibilities of Member States, the Commission and the ECOFIN Council in thefiscal domain. III. Potential effects on interest ratesMy third topic concerns the potential effects on interest rates: How will interest rates be affected by theSGP reform in the long run? And what is the markets’ assessment?",89
2011-10-06,"However, the financial crisis shouldinstead serve as a powerful reminder that only a fully fledged integrated single market canprovide the resilience that we need to withstand future shocks. The Single Market Act,launched in April by the European Commission is therefore very much welcomed to provideimpetus to the reinforcement of the project. This is also what is wished by citizens, since thevery recent Eurobarometer survey of 26 September shows that there are still important gapsbetween expectations and the reality of the single market: information gaps affecting citizensand authorities, gaps in the implementation of European policy, and gaps in the Europeanlegislative framework.",100
2010-02-23,"Steffen, 2009. “The impact of the U.S. financial crisis on global retail lending.”Duke University working paper. BIS Review 19/20103Given this picture, it is clear that the challenge of the day is how to strengthen financialstability without reducing long-term growth. The current academic and policy debate hasalready given us some guidance as to which measures could serve this purpose best.",59
2018-05-11,"The slope of the PC relationship between inflation and the unemployment gap does notdecline by half or more as in the recent literature, but instead is stable.”This last aspect is particularly important as it highlights one of the puzzles found in the secondapproach of the NKPC, since Roberts[31] obtained the result of a 50% decline in the slopecoefficient for the U.S. in 2006. As is to be expected, the value of that coefficient depends onthe entire specification of the regression.",80
2007-08-29,"The second one is that firms in all sectors have not exploitedthe benefits of the new technologies to their full extent. The third one is that the aggregateeuro area picture is misleading, because important differences exist across countries. Before going into further details, however, I would like to underline the difficulties ofmeasuring productivity developments exactly and of comparing them across countries. Mostof the data I will discuss for the euro area have recently been made available in the so-calledEU KLEMS Growth and Productivity Accounts database, which was published on 15 March2007.",91
2000-03-30,"Moreover, speechessuch as this one today and other public appearances of members of the Executive Board, for exampleat hearings of the European Parliament, are an important channel of communication with the public. The ECB also participates actively in academic debate. Finally, a lot of information is accessible onthe ECB’s website. All in all, the information supplied by the ECB goes beyond the requirements of the Treatyestablishing the European Community. Against this background, it is not clear to me which additionalrelevant information academics and financial market participants hope to obtain from the publicationsof minutes and voting records.",96
2008-03-19,"The last lesson that I would like to draw to your attention is that EMU in Europe is much morethan a monetary union, it’s in fact a political union. The sharing of the same currency hasimplications for citizens that go beyond what we as economists are used to considering. Itentails implicit contractual relations which have a direct impact on citizens’ day-to-daydecisions. Furthermore, policy-making structures in the euro area have become much moreintertwined not only in relation to monetary policy but also to budgetary policy.",84
2006-12-21,"While the outlookfor energy prices remains uncertain, overall inflation rates are likely to increase again in early 2007and then hover around 2% in the course of that year and in 2008, also reflecting the impact of higherindirect taxes. The Eurosystem staff projections point to a rate of inflation of 2.1 % to 2.3 % in 2006,1.5 % to 2.5 % in 2007 and 1.3 % to 2.5 % in 2008.",70
2007-04-04,"This is an undeniable success in job creation. But it is not time forcomplacency because we still have mass unemployment. We think that all the structural reforms thatare necessary would allow us not only to create jobs but also to have a jump in labour productivity thatwould permit a significant increase in our medium- and long-term growth potential. We do not see yet this phenomenon, but we are analysing very carefully the recent evolution in labourproductivity.",76
2014-04-25,"Policy-makers can tackle the negative long-term consequences by enacting policies aimed atreducing the negative impact of long-term unemployment on human capital. One such policythat has proved effective in the past is training. On-the-job training provides workers withgeneral skills, but especially with the industry-specific skills that are indispensable in today’sknowledge economies. Training has been shown to have a significant positive effect on firmlevel value added growth, productivity and innovation. At the same time, it is costly; forexample, overall expenditure on professional training in the United States amounts each yearto almost one-third of overall expenditure on formal education.",96
2000-02-25,"Mr Noyer summarises the main features of the Eurosystem’s monetarypolicy strategy and discusses the short past and the long future of the euroSpeech by Mr Christian Noyer, Vice-President of the European Central Bank, on the occasion of aconference organised by “le Club des Affaires de Berlin e.V.”, Berlin, on 23 February 2000. ***Ladies and Gentlemen,It is a pleasure and an honour for me to speak here at the Club des Affaires de Berlin today.",74
1998-10-12,"The listof eligible assets comprises a wide variety of assets, which have been selected by the ECBaccording to area-wide uniform criteria relating to their credit standing in the whole euro area. Inorder to promote a certain degree of continuity at the start of the Third Stage of EuropeanMonetary Union, a sub-set (the so-called tier two eligible assets) includes assets of particularimportance for certain national banking systems of the euro area. These assets have the samecredit standing as the other assets.",80
2018-05-17,"3 In January 2018 Tokyo-based VC exchange Coincheck was hacked and €430 million of virtual currency wasstolen. 4 A survey found that 20% of VC asset owners used debt to finance purchases. See Kharif, O. (2018), “Bitcoin oncredit? For 20 percent of owners, that’s yes”, Bloomberg, 7 February 2018. 5 The SEC’s concerns relate, in particular, to how mutual funds or ETFs propose to store, safeguard, and priceVCs and how they would address elevated risks of fraud and manipulation.",79
2018-05-16,"I always thought and dreamed about it, and I hope to have a sufficient number of years to satisfythat ambition. I am going to have a blog. It’s usual in the United States; in other places, not sousual. I will comment on general questions about the future, about Europe, aboutmacroeconomics. What will your first post be about? I am still hesitating. It could be about the future of monetary policy and the points I left out in myrecent speech, from neutral interest rates to yield curve control.",87
2008-07-03,"Brunnermeier (2002), “Synchronization risk and delayedarbitrage”, Journal of Financial Economics, Vol. 66(2-3), pp. 341–360. Abreu, Dilip and Markus K. Brunnermeier (2003), “Bubbles and Crashes”, Econometrica, Vol. 71(1), pp. 173-204. Allen, Franklin and Douglas Gale (2000), “Bubbles and Crises”, The Economic Journal,Vol. 110(460): pp. 236255. Basel Committee for Banking Supervision (2006), “Studies on credit risk concentration”,Working Paper No. 15, November. Basel Committee for Banking Supervision (2008), “Liquidity Risk: Management andSupervisory Challenges”, February. Bordo, Michael D. and Olivier Jeanne (2002), “Monetary Policy and Asset Prices: Does‘Benign Neglect’ Make Sense?”, International Finance, Vol. 5(2), pp. 139-164.",93
2007-10-02,"In line with the article entitled “Financial flowsto emerging market economies: changing patterns and recent developments” published in the ECB’s MonthlyBulletin of Janaury 2005, the term emerging markets here is meant to comprise Russia and Turkey in Europe;Argentina, Brazil, Chile, Colombia, Mexico and Venezuela in Latin America; and China, Hong Kong SAR,India, Indonesia, Malaysia, Singapore, South Korea, Taiwan and Thailand in Asia. 2See “Dreaming with BRICs: The path to 2050”, Global Economics paper No. 99, Goldman Sachs, 1 October2003.",79
2014-09-11,"As a tribute to your collective foresight,I would like to recall that in your meeting on 25 June 2012, you were among the first todiscuss the operational consequences of lowering the ECB’s Deposit Facility Rate (DFR) tozero or below zero. This will be the topic of my remarks tonight.1A few months ago, on 5 June, the ECB lowered the main refinancing rate to 0.15%, themarginal lending rate to 0.40%, and – maybe most noteworthy – the Deposit Facility Rate tominus 0.10%.",81
2013-06-19,"Our task is to ensure price stability in the euro area, and our non-standardmeasures have contributed to that objective. But monetary policy cannot be called on toovercome the crisis. A sustainable resolution to the crisis lies in the hands of the MemberStates. So this evening I would like to look at two questions:•First, what is the role of monetary policy in overcoming the crisis? •Second, are the euro area governments living up to their responsibility to eliminatethe causes of the crisis? Let me begin with the role of the ECB. The ECB’s core task is to ensure price stability.",99
2019-07-15,"Moreover, theaggregate cyclical stance of fiscal policy plays an important role in determining the amplitude andduration of economic fluctuations. As noted by President Draghi in his Sintra speech, a cyclicallyappropriate aggregate fiscal stance may be more easily achieved through a well-designedcentral fiscal capacity. Let me now turn to the importance of effective communication in maintaining focus on theinflation objective, especially during phases of extended deviations. Central bank communicationThe Treaty on the Functioning of the European Union establishes price stability as the primaryobjective of the ECB.",85
2014-06-20,"Euro area annual HICP inflation was 0.5% in May 2014, afteraveraging 0.7% in the first four months of the year. The June 2014 Eurosystem staffmacroeconomic projections foresee a gradual increase in annual HICP inflation towardslevels consistent with our definition of price stability. The pace of the increase is, however,slow. From 0.7% in 2014, inflation is expected to reach 1.1% in 2015 and, more uncertainly,1.4% in 2016. All three figures have been revised downward in comparison with the March2014 ECB staff macroeconomic projections and portray a situation distant from our objectiveof keeping inflation below but close to 2% in the medium-term.",100
2018-02-20,"In the next few minutes, I would like to consider the following questions:Why does the Treaty2 grant (privileged) legal tender status to euro banknotes? In otherwords, why is there legal tender status at all? What is the role of the ECB and the Eurosystem in protecting this status? And whatimplications does this have for our activities in the Eurosystem? Euro banknotes, and only euro banknotes, are protected as legal tender under the primary law ofArticle 128(1) TFEU3. But what exactly is legal tender? There is a Commission recommendation on this point4. It is not binding.",95
2017-09-14,"Banks also needed collateral to access the operations. While overallcollateral buffers were sufficient, the distribution of eligible collateral between banks was highlyuneven. The ACC framework comes into play here. It allowed NCBs to temporarily accept anexpanded list of credit claims as collateral in their refinancing operations. Specific risk mitigationmeasures were put in place to keep the overall risk of the collateral pool unchanged. I interpretthe results of Cahn and co-authors as supportive for our decision in December 2011. The papershows that the ACC made a crucial difference for banks’ lending behaviour. SMEs that werepreviously served by only one bank, i.e.",100
2008-11-14,"However, I would like to make two points here. First, it is difficult to precisely pin down the link between financial innovation and productivityin financial services. Just as productivity in the services sector as a whole is difficult tomeasure, it is especially the case in the financial sector:•It is not easy to identify some kind of rough proxy for innovation because there is analmost infinite amount of data on the emergence and growth of new financialinstruments.",76
2018-11-13,"Luis de Guindos: Coming to the forefront - the rising role of theinvestment fund sector for financial stability in the euro areaSpeech by Mr Luis de Guindos, Vice-President of the European Central Bank, at the OpeningConference, 21st Euro Finance Week, Frankfurt am Main, 12 November 2018. * * *I am honoured to speak at this Opening Conference of the 21st Euro Finance Week. People often think that central bankers – by profession and perhaps even by nature – arepredisposed to constantly warn about risks. We therefore need to avoid being perceived as‘crying wolf’ too often.",95
2010-11-29,"BIS Review 157/20103Therefore including competitiveness as an indicator for surveillance at the European level iskey and already foreseen in the new EU economic governance framework. Reform of the EU’s economic governance framework…European leaders recognize the need of a considerable strengthening of the economicmodel. At their meeting on 28 and 29 October 2010, the EU Heads of State and Governmentagreed on the reform of the European Union’s economic governance. The proposals putforward by President van Rompuy represent a strengthening of the existing framework forfiscal and macroeconomic surveillance in the European Union.",90
2000-01-20,"This will be helpful in providing a better comprehension of the international impact of theeuro in three specific areas which, in my opinion, are crucial:•the use of the euro by the business community as an investment and financing currency in theglobal financial system (market impact);•the new role played by the euro area in the process of international cooperation (first policyimpact); and•the importance of the euro for the process of regional integration in Europe and Africa, and therole that this process may play with regard to possible integration in other regions of the world(second policy impact). 1BIS Review 4/20001.",98
2012-09-21,"Let us look back on some of the milestones that have been accomplished so far. The double office tower has almost reached its final height of 185 metres. The last office floorwas laid a few weeks ago, while the various platforms and steel structures within the atriumare currently being completed. The restoration of the Grossmarkthalle is another remarkable element of the ongoingconstruction works. The former splendour of the facades and the concrete roof shell structureis slowly being restored, evoking again the vision of its architect, Martin Elsaesser.",87
2016-04-11,"Peter Praet: The European Central Bank’s fight against low inflation –reasons and consequencesSpeech by Mr Peter Praet, Member of the Executive Board of the European Central Bank, atLuiss School of European Political Economy, Rome, 4 April 2016. ***I would like to thank Jonathan Yiangou, John Hutchinson and Federic Holm-Hadulla for their contributions to thisspeech. Accompanying slides can be found on the European Central Bank’s website. In the last half century central banks have come a long way in how they approach theirmacro-stabilisation functions.",83
2019-07-18,"A large number of banks and investment firms are in the process ofestablishing or expanding their euro area presence, possibly resulting in the development of amulti-centric European financial system. While the landscape may evolve further in the future, in a financial system with a number ofincreasingly important hubs, as opposed to one dominant hub in London, it will be moreimportant than ever for these hubs to be able to efficiently interact with one another and to avoiddifferences across Member States providing opportunities for regulatory arbitrage. Second, the banking union needs to be completed.",93
2018-11-09,"Getting to this point has required considerable monetary policy support. The euro area is lookingback on several years of exceptionally low interest rates and unconventional monetary policymeasures. The ECB’s key interest rates have been at unprecedented low levels since 2009. They have been supported by a series of unconventional measures, introduced in the face of aprotracted recession and persistently low inflation.",61
2000-10-31,"He drew the analogy to Jesus’ call on St. Peter when founding the Christian church: “Thou artPeter, the rock, and on this rock I shall build my church” turned into “Thou art the euro, on this newcurrency shall we build our Europe”. I must admit I would prefer to make the argument in moresecular terms and not to overburden the euro with additional hopes, beliefs or visions.",67
2013-07-16,"It is an optimal forum to discuss issues and challenges which are emerging in relation toincreasing demand for collateral, such as addressing solutions for the optimisation ofcollateral usage and, where needed, the transformation of collateral, as well as consideringconsistency of rules and regulations, standardisation, and post-trading developments insofaras these relate to collateral. In this sense, the work of COGESI complements some recentwork at the level of the Committee for the Global Financial System (CGFS) on theimplications of asset encumbrance and demand for high-quality assets that can be used ascollateral.",89
2016-05-17,"This starts by enforcing the commonly agreed fiscal rules,using exsiting fiscal space . And in all countries, budgets should be made more growthfriendly, for instance by redirecting spending to research and education and lowering thecharges on labour. Furthermore, growth-enhancing structural reforms are important. The rateof implementation of the EU country-specific recommendations is dismal, and theMacroeconomic Imbalance Procedure is hardly being used. But making Europe crediblestarts with delivering on what has already been agreed. The second package of measures concern what can be done collectively by euro areacountries to strengthen the foundations of our single currency.",95
2008-02-29,"In the absence of such definition, a sequence of adverseinflationary shocks could be misinterpreted by private agents as a shift in the objective of thecentral bank, thereby unmooring inflation expectations and eventually leading to secondround effects. A definition of price stability in terms of headline CPI inflation provides a clearand measurable yardstick against which the central bank could be held accountable andguidance for forming expectations of medium-term price developments.",69
2018-03-19,"This is in part because past labour market reformshave encouraged both groups to enter the workforce in response to higher growth.7 Ifsubstantially more workers can be drawn into the labour force, it would be possible for the labourmarket to strengthen further without generating wage pressures. In this environment, policymakers have to be more cautious than in the past about theassumptions that underpin our forecasts – and simple policy rules based around estimates ofthe output gap are no longer a useful guide for our actions.",84
2007-12-06,"Lorenzo Bini Smaghi: Globalisation and public perceptionsDinner speech by Mr Lorenzo Bini Smaghi, Member of the Executive Board of the EuropeanCentral Bank, at the joint meeting of the GEPA-GPA-GSPA, Brussels, 3 December 2007. *1. **Introduction 1Ladies and gentlemen,It’s pleasure for me to be with you tonight to talk about a fascinating subject: globalisation. In accepting this invitation a few weeks ago, and having just read Ed Leamer’s wonderfulsurvey of The World is Flat in the Journal of Economic Literature 2 , I tried myself to fullyexploit the benefits that globalisation offers us, according to economists.",95
2014-09-11,"Effective supervision and the orderly resolution of banks thus also support the ECB’smonetary policy mandate. It helps the central bank to carry out its task, that is, to provideliquidity assistance, without it having to worry about overstepping its mandate. Improving the monetary policy transmissionThe Eurosystem offers liquidity to banks to maintain financial intermediation in the moneymarket and to improve the transmission of monetary policy. For this transmission to workoptimally, a stable financial sector is needed. For banks are the most important channel viawhich our monetary stimulus is passed on to businesses and households.",93
2000-09-25,"This depends on the legal traditions of thejurisdictions in which they are adopted. In the former acts, the ECB Regulations, the point of gravitywith regard to their application lies clearly with the ECB. In the latter, the acts implementing theECB’s rules, it lies clearly with the NCBs. In other words, in the first case there is unification of law,in the latter approximation. The justification for this balanced approach is the following. Obviously, implementation of a singlemonetary policy for the euro area requires, on the one hand, a single set of rules established at, andapplied by, the centre, the ECB.",99
2005-12-21,"Following the interest rate hike of 1 December 2005, you said, “we are not engaging, exante, in a series of interest rate increases.” Does this mean that you are promising that therewill be no further increase in interest rates in the coming months? J.-C. T. As regards future monetary policy, I reiterate what I said on behalf of the Governing Councilfollowing our most recent decision: “We did not decide “ex ante” to engage in a series of interest rateincreases.",79
2014-04-22,"Moreover, given the prominent role of euro area banks in the banking sector of this region,the establishment of the SSM will further intensify our institutional relations. For a substantialproportion of the foreign-owned banks operating in the Western Balkans, the ECB willbecome the home supervisor. In addition to enhancing financial stability in the euro area, andthus the home region of parent banks with subsidiaries in the Western Balkans, the SSM hasthe potential to facilitate home-host country cooperation in banking supervision.",79
2011-04-26,"Although it was roundly criticized for its exceptionalpurchases of government bonds in the spring of 2010, it continues to take its price-stabilitymandate seriously. It shows absolutely no inclination to embark on reckless inflationarypolicies.”First of all, do you agree with this assessment? Secondly, is the perception that the ECB isextraordinarily serious about the maintenance of price stability something that you would liketo see as your personal legacy as a central banker? I did not know that you would quote Barry Eichengreen. But yes, you can see that weconsider price stability to be fundamental.",92
2008-10-30,"Evidence of this inflationgap can be found by looking at the main HICP components and gross value added deflators. For instance, when using the GDP deflator at factor cost, inflation in private sector serviceshas been on average 0.8 percentage points higher than in the manufacturing sector. 11Similar developments have been found for the US and other industrialised economies, butthe gap in the euro area has been more persistent than in the US. The persistent divergencebetween services and goods inflation in the euro area clearly reflects a weakness inproductivity growth in services activities.",92
2020-07-15,"In broad terms, this support works along two dimensions: by (i)underpinning medium-term growth and inflation developments and (ii) reducing tail risks around ourbaseline scenario. With regard to the first dimension, more favourable financial conditions help to mitigate the negative impactof the COVID-19 shock on consumer expenditure and business investment. Monetary policy typicallyoperates with transmission lags. However, especially during a crisis, we should not discount the positiveeffect of our swift and decisive action on consumer and business confidence, which can accelerate andreinforce the monetary policy transmission to growth and inflation.",89
2017-11-14,"2/5BIS central bankers' speechesFirstly, our monetary policy measures were not an “experiment” on the economy, but were in linewith the policies previously adopted by other major central banks. Interest rate paths and balancesheets of the ECB and the FED are broadly comparable, despite the longer and slowereconomic recovery of the euro area after the crisis. Secondly, much-feared inflationary pressures have not materialised, nor can they be foreseen inthe immediate future. Measures of underlying inflation have ticked up only moderately in recentmonths, and have yet to show convincing signs of a sustained upward trend.",93
2013-06-04,"I mentioned already the large decline in overall Target balances,and it is important to add here that this improvement has materialised also for Germany: theTarget claim of Germany has fallen from a peak of 760 billion euros in the middle of last yearto about 590 billion euros last month. This is a decrease of 170 billion euros or 22%. This important improvement largely reflects the removal of unwarranted fears of a systemiccollapse of monetary union that was previously priced-in by markets.",81
2015-10-06,"This is not our policy preference.”18To paraphrase the first ECB Monthly Bulletin article on the international of the euro: “The list of potential benefitsand costs for euro area residents is for the time being of a rather speculative, forward-looking nature. Manybenefits are difficult to measure with precision.” (Monthly Bulletin, August 1999, p. 43;http://www.ecb.europa.eu/pub/pdf/other/p.31_53_mb199908en.pdf). 19See Krugman (1980). 20Gourinchas et al. (2010) estimate that the United States earned a positive return differential on its externalbalance sheet of about 2% per year in real terms over the period 1952–2009; other studies find smaller effects.",91
2011-05-12,Decisions are about to be taken on strengthening the governance of the euro area with aview to achieving these objectives. The aim is not only to strengthen the institutionalBIS central bankers’ speeches3architecture but also to advance the implementation of the single market. The ECB’s positionin this respect is well-known. Here today I would like to warn against an illusion which seems to be spreading amongpolicy-makers in Europe.,67
2018-06-11,"But before I elaborate on this, I should note that we have entered the quiet period before the nextmonetary policy meeting of the ECB Governing Council, and therefore my remarks should beunderstood as high-level reflections and not be interpreted as containing any commitments orcomments on upcoming monetary policy decisions. Parallels between risk management at commercial and central banksRisk management has gained in importance in recent years for both commercial and centralbanks. The regulations that emerged following the crisis have led commercial banks to bolster their riskfunctions in a number of ways.",91
2015-09-16,"“Reporton international cooperation and coordination in the area of financial market supervision and surveillance”,Bank for International Settlements, 11 February 1999. 5The recommendations for the second phase of the G20 Data Gaps Initiative include Recommendation II.20 onthe promotion of data sharing by G20 economies, which includes an increase in “the sharing and accessibilityof granular data, if needed by revisiting existing confidentiality constraints”. BIS central bankers’ speeches3",65
2007-06-05,"Specificpolicies aiming at increasing employment particularly in the unskilled segment of the labour marketmay have contributed to the observed slowdown in labour productivity growth. However, this apparenttrade-off between labour utilisation and productivity is likely to be a temporary phenomenon thatshould progressively fade, when the economy reaches a higher “equilibrium” labour/output ratio. In thisrespect, it is worth mentioning that the US managed at the same time to increase both labour inputand labour productivity.",72
2001-07-02,"For instance, what was first a European Assembly with only consultative powers has nowbecome a European Parliament with legislative responsibilities extended to more and more areas, andmembers of parliament who are directly elected by European citizens. Within the Council of Ministers,majority voting has increasingly become the norm at the expense of unanimity. Finally, in addition to institutional reform, economic integration has also served to foster progress inareas beyond the economic sphere. In order to effectively guarantee the four freedoms, it has, forexample, been deemed necessary to grant powers to the EU in fields such as immigration and humanrights.",98
1999-10-05,"The ECB, as the single monetary authority in the euro area,hereby plays its part by focusing on its primary objective of maintaining price stability over themedium term. Let me now give a brief overview of how we perceive developments in Latin America. The overalloutlook continues to improve, although uncertainties as to the strength and resilience of the growthrecovery remain. The region’s output is bottoming out as South America’s recession is being partiallyoffset by a better situation in Mexico and Central America.",81
